UKPRN,HE Provider,Country of HE provider,Region of HE provider,Mode of employment,Atypical marker,Academic marker,Contract marker,Academic Year,Number
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Academic,Academic,2014/15,1260
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,Non-academic,2014/15,1185
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Academic atypical,Academic,Academic,2014/15,0
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Academic,Academic,2014/15,405
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2014/15,700
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Academic atypical,Academic,Academic,2014/15,320
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Academic,Academic,2015/16,1170
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,Non-academic,2015/16,1110
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Academic atypical,Academic,Academic,2015/16,0
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Academic,Academic,2015/16,395
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2015/16,735
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Academic atypical,Academic,Academic,2015/16,280
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Academic,Academic,2016/17,1085
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,Non-academic,2016/17,1110
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Academic atypical,Academic,Academic,2016/17,0
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Academic,Academic,2016/17,375
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2016/17,780
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Academic atypical,Academic,Academic,2016/17,360
